Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C14, C20, C3, C4, C9",01005,6,0.1uF,C1525
C11,0201,1,0.1uF,C1525
C12,01005,1,22uF,C105226
"C13, C15, C16, C18",01005,4,10uF,C15525
"C5, C6",01005,2,1uF,C14445
J1,USB_C_Receptacle_G-Switch_GT-USB-7025,1,USB_C_Receptacle_USB2.0_14P,C963213
"Q1, Q2",TO-92Flat,2,2N3904,
"R1, R2",0201,2,5K1,C177348
"R16, R17",0201,2,470R,C177340
"R3, R9",0201,2,10K,C177337
"R4, R5, R6, R8",0201,4,12K,C177293
R7,0201,1,4.7K,C22356632
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,C231329
U1,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,C42417293
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,C2861750
U8,InvenSense_QFN-24_3x3mm_P0.4mm,1,MPU-9250,C71459
U9,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ, C132159
